run,idx,step_e,avg_reward,avg_loss
contractoractive_neu_50k,0,0,-3991.75,-0.5137327432632446
contractoractive_neu_50k,1,12,-3884.5,-0.21191034466028214
contractoractive_neu_50k,2,24,-4256.916666666667,-0.21116058006882668
contractoractive_neu_50k,3,36,-3863.75,-0.21109376549720765
contractoractive_neu_50k,4,48,-3906.5,-0.3616151809692383
contractoractive_neu_50k,5,60,-3813.25,0.26037459522485734
contractoractive_neu_50k,6,72,-3317.4166666666665,-0.30051508247852327
contractoractive_neu_50k,7,84,-3025.1666666666665,-0.3713880509138107
contractoractive_neu_50k,8,96,-3102.3333333333335,0.22463039606809615
contractoractive_neu_50k,9,108,-2996.5833333333335,-0.2640044927597046
contractoractive_neu_50k,10,120,-2764.5833333333335,0.07520905882120132
contractoractive_neu_50k,11,132,-3256.0,1.946526050567627
contractoractive_neu_50k,12,144,-2796.6666666666665,-0.014286621659994125
contractoractive_neu_50k,13,156,-2804.6666666666665,-0.40882992148399355
contractoractive_neu_50k,14,168,-2863.75,2.198941874504089
contractoractive_neu_50k,15,180,-2473.9166666666665,-0.21385925635695457
contractoractive_neu_50k,16,192,-2427.0,0.5504692807793617
contractoractive_neu_50k,17,204,-2637.25,-0.4480807244777679
contractoractive_neu_50k,18,216,-2656.3333333333335,-0.27402691841125487
contractoractive_neu_50k,19,228,-2414.0833333333335,0.05670673847198486
contractoractive_neu_50k,20,240,-2513.25,-0.43606669902801515
contractoractive_neu_50k,21,252,-2469.3333333333335,-0.2091137945652008
contractoractive_neu_50k,22,264,-2423.3333333333335,0.6511116087436676
contractoractive_neu_50k,23,276,-2582.8333333333335,1.005530548095703
contractoractive_neu_50k,24,288,-2190.6666666666665,-0.2548161089420319
contractoractive_neu_50k,25,300,-2322.6666666666665,-0.28334894478321077
contractoractive_neu_50k,26,312,-2472.0,-0.16023296490311623
contractoractive_neu_50k,27,324,-2169.3333333333335,0.720998215675354
contractoractive_neu_50k,28,336,-2333.3333333333335,0.7701795816421508
contractoractive_neu_50k,29,348,-2098.3333333333335,0.1533798508346081
contractoractive_neu_50k,30,360,-2173.9166666666665,0.25749472081661223
contractoractive_neu_50k,31,372,-2543.9166666666665,-0.4338235318660736
contractoractive_neu_50k,32,384,-2144.8333333333335,0.2793290980160236
contractoractive_neu_50k,33,396,-2312.3333333333335,-0.43547749519348145
contractoractive_neu_50k,34,408,-2004.5833333333333,-0.3180095195770264
contractoractive_neu_50k,35,420,-2039.1666666666667,-0.4197270393371582
contractoractive_neu_50k,36,432,-2135.0,-0.2593167722225189
contractoractive_neu_50k,37,444,-2316.0,-0.2507677037268877
contractoractive_neu_50k,38,456,-1969.8333333333333,0.2412069857120514
contractoractive_neu_50k,39,468,-1908.4166666666667,0.08916990533471107
contractoractive_neu_50k,40,480,-1917.6666666666667,1.7534390926361083
contractoractive_neu_50k,41,492,-1968.0,2.0873364448547362
contractoractive_neu_50k,42,504,-1893.1666666666667,-0.3690281420946121
contractoractive_neu_50k,43,516,-1732.0,-0.16889351308345796
contractoractive_neu_50k,44,528,-1820.3333333333333,0.17205005288124084
contractoractive_neu_50k,45,540,-1722.3333333333333,-0.046092712134122846
contractoractive_neu_50k,46,552,-1635.3333333333333,0.24291337579488753
contractoractive_neu_50k,47,564,-1656.5833333333333,1.7596658945083619
contractoractive_neu_50k,48,576,-1519.9166666666667,-0.23887552618980407
contractoractive_neu_50k,49,588,-1448.9166666666667,-0.4340154528617859
contractoractive_neu_50k,50,600,-1385.8333333333333,0.20157869085669516
contractoractive_neu_50k,51,612,-1537.6666666666667,-0.43843919038772583
contractoractive_neu_50k,52,624,-1371.5,0.4004004955291748
contractoractive_neu_50k,53,636,-1255.5833333333333,0.5499130010604858
contractoractive_neu_50k,54,648,-1358.75,0.5669624269008636
contractoractive_neu_50k,55,660,-1329.0833333333333,0.3957523286342621
contractoractive_neu_50k,56,672,-1421.9166666666667,-0.06244142800569534
contractoractive_neu_50k,57,684,-1546.0833333333333,-0.47527162730693817
contractoractive_neu_50k,58,696,-1251.75,0.7430749893188476
contractoractive_neu_50k,59,708,-1457.25,-0.2685495108366013
contractoractive_neu_50k,60,720,-1475.5833333333333,-0.2846616268157959
contractoractive_neu_50k,61,732,-1266.5833333333333,-0.30364462435245515
contractoractive_neu_50k,62,744,-1366.3333333333333,-0.26145546734333036
contractoractive_neu_50k,63,756,-1288.6666666666667,-0.1689026802778244
