run,idx,step_e,avg_reward,avg_loss
m1_contractorinactive,0,0,-328.3333333333333,-0.44120429158210756
m1_contractorinactive,1,6,-396.3333333333333,-0.5549369871616363
m1_contractorinactive,2,12,-331.5,-0.4736622780561447
m1_contractorinactive,3,18,-325.3333333333333,-0.4527355909347534
m1_contractorinactive,4,24,-385.0,-0.38794401586055755
m1_contractorinactive,5,30,-336.6666666666667,-0.3440335363149643
m1_contractorinactive,6,36,-378.0,-0.5621958136558532
m1_contractorinactive,7,42,-344.1666666666667,-0.4290916621685028
m1_contractorinactive,8,48,-360.1666666666667,-0.3895235449075699
m1_contractorinactive,9,54,-295.6666666666667,-0.4755169928073883
m1_contractorinactive,10,60,-365.3333333333333,-0.45438515543937685
m1_contractorinactive,11,66,-333.6666666666667,-0.4934102654457092
m1_contractorinactive,12,72,-316.0,-0.43697099685668944
m1_contractorinactive,13,78,-309.3333333333333,-0.241743266582489
m1_contractorinactive,14,84,-254.5,0.6835033237934113
m1_contractorinactive,15,90,-307.1666666666667,-0.24463237673044205
m1_contractorinactive,16,96,-337.6666666666667,-0.4681295990943909
m1_contractorinactive,17,102,-207.0,-0.33967807814478873
m1_contractorinactive,18,108,-277.3333333333333,-0.4592917561531067
m1_contractorinactive,19,114,-282.0,-0.4700263261795044
m1_contractorinactive,20,120,-209.33333333333334,0.24430333971977233
m1_contractorinactive,21,126,-275.6666666666667,-0.14186704754829407
m1_contractorinactive,22,132,-209.83333333333334,-0.05868286788463593
m1_contractorinactive,23,138,-113.83333333333333,-0.20307492315769196
m1_contractorinactive,24,144,-175.5,-0.27794459611177447
m1_contractorinactive,25,150,-174.33333333333334,-0.1593238577246666
m1_contractorinactive,26,156,-199.16666666666666,-0.04011417180299759
m1_contractorinactive,27,162,-198.83333333333334,-0.36098201870918273
m1_contractorinactive,28,168,-135.66666666666666,-0.45435968041419983
m1_contractorinactive,29,174,-183.83333333333334,-0.43295771181583403
m1_contractorinactive,30,180,-121.33333333333333,-0.17534370720386505
m1_contractorinactive,31,186,-132.16666666666666,0.08279807567596435
m1_contractorinactive,32,192,-121.16666666666667,1.1835983216762542
m1_contractorinactive,33,198,-133.33333333333334,-0.25821221992373466
m1_contractorinactive,34,204,-140.83333333333334,-0.3743341028690338
m1_contractorinactive,35,210,-132.16666666666666,0.9558986544609069
m1_contractorinactive,36,216,-120.83333333333333,-0.469528990983963
m1_contractorinactive,37,222,-147.66666666666666,-0.468994140625
m1_contractorinactive,38,228,-120.16666666666667,-0.34303032159805297
m1_contractorinactive,39,234,-131.66666666666666,-0.43354423642158507
m1_contractorinactive,40,240,-107.66666666666667,0.7778081595897675
m1_contractorinactive,41,246,-110.5,-0.38823020458221436
m1_contractorinactive,42,252,-96.16666666666667,-0.5270902812480927
m1_contractorinactive,43,258,-94.83333333333333,3.0918516874313355
m1_contractorinactive,44,264,-187.16666666666666,0.0398998036980629
m1_contractorinactive,45,270,-134.66666666666666,-0.4547577083110809
m1_contractorinactive,46,276,-160.33333333333334,-0.37825798988342285
m1_contractorinactive,47,282,-90.0,-0.412651789188385
